epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.777814,0.694042,0.969813,0.050515,1.636731,0.421329,0.991967,0.056447,0.421286,0.456506
1,1.746101,0.647646,0.968781,0.053342,1.615024,0.398435,0.990665,0.057151,0.398576,0.439149
2,1.730939,0.634260,0.967301,0.054197,1.599575,0.387959,0.989209,0.057560,0.388017,0.430992
3,1.711800,0.613418,0.965888,0.054632,1.586469,0.381730,0.987543,0.057557,0.382222,0.425879
4,1.698996,0.604809,0.964351,0.054234,1.574635,0.377902,0.985667,0.057195,0.378021,0.422989
5,1.685749,0.595381,0.962365,0.053834,1.564378,0.376940,0.983773,0.056559,0.377138,0.421520
6,1.674008,0.588660,0.960711,0.053857,1.553234,0.374074,0.981932,0.057157,0.374301,0.419796
7,1.663288,0.583734,0.958890,0.054020,1.543951,0.374370,0.979855,0.056757,0.374386,0.419606
8,1.654461,0.582041,0.956818,0.054082,1.535140,0.375299,0.977783,0.056679,0.375337,0.419776
9,1.642765,0.575086,0.954931,0.054174,1.525130,0.373758,0.975598,0.057017,0.373623,0.418723
10,1.634191,0.573488,0.952767,0.054308,1.515622,0.373082,0.973013,0.057181,0.373003,0.418112
11,1.623714,0.568436,0.950759,0.054707,1.506814,0.373155,0.970731,0.057020,0.373186,0.418183
12,1.612828,0.562638,0.948131,0.054863,1.498655,0.374148,0.967965,0.057309,0.374209,0.418270
13,1.602886,0.558330,0.945644,0.055130,1.489686,0.373687,0.965294,0.057055,0.373758,0.417925
