epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.355148,0.352339,0.280890,0.152371,0.302850,0.301706,0.114434,0.162820,0.438182,0.301693
1,0.293646,0.292049,0.159705,0.169924,0.279502,0.278592,0.090990,0.177567,0.420852,0.278612
2,0.280945,0.279501,0.144416,0.185065,0.271886,0.271052,0.083409,0.191548,0.416711,0.271055
3,0.275875,0.274475,0.139948,0.198303,0.268804,0.267983,0.082089,0.202825,0.417363,0.267972
4,0.273111,0.271715,0.139596,0.208431,0.267687,0.266855,0.083148,0.212181,0.415655,0.266863
5,0.270903,0.269502,0.140123,0.216811,0.265191,0.264352,0.083894,0.220113,0.415213,0.264335
6,0.269281,0.267878,0.140323,0.223699,0.262984,0.262149,0.083512,0.226797,0.414878,0.262173
7,0.267883,0.266481,0.140166,0.229420,0.262827,0.261981,0.084564,0.230481,0.415417,0.261975
8,0.266686,0.265288,0.139731,0.233880,0.262086,0.261249,0.083747,0.235481,0.415462,0.261272
9,0.265612,0.264220,0.139177,0.237846,0.260475,0.259648,0.082776,0.239606,0.415565,0.259620
10,0.264838,0.263452,0.138607,0.241069,0.259887,0.259056,0.083051,0.242386,0.414933,0.259068
11,0.264071,0.262691,0.138061,0.243728,0.258626,0.257799,0.082735,0.244758,0.414222,0.257805
12,0.263490,0.262115,0.137465,0.245932,0.259545,0.258727,0.081747,0.246510,0.415935,0.258702
13,0.262915,0.261545,0.136946,0.248129,0.257949,0.257138,0.081097,0.249300,0.415570,0.257148
14,0.262418,0.261051,0.136624,0.249798,0.258600,0.257789,0.081086,0.251680,0.413501,0.257814
15,0.261983,0.260619,0.136375,0.251399,0.256647,0.255839,0.080754,0.252784,0.414578,0.255849
16,0.261548,0.260185,0.136326,0.252509,0.257491,0.256682,0.080903,0.253320,0.415192,0.256676
17,0.261219,0.259856,0.136296,0.253732,0.257294,0.256481,0.081379,0.254769,0.414155,0.256500
