epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.363761,0.363761,1.000000,0.312579,0.312579,0.000000,0.000000,0.445730,0.312565
1,0.300763,0.300763,1.000000,0.285350,0.285350,0.000000,0.000000,0.423675,0.285367
2,0.285264,0.285264,1.000000,0.275480,0.275480,0.000000,0.000000,0.417362,0.275479
3,0.278896,0.278896,1.000000,0.271533,0.271533,0.000000,0.000000,0.417671,0.271523
4,0.275467,0.275467,1.000000,0.269757,0.269757,0.000000,0.000000,0.415369,0.269761
5,0.272778,0.272778,1.000000,0.267057,0.267057,0.000000,0.000000,0.415083,0.267039
6,0.270941,0.270941,1.000000,0.264997,0.264997,0.000000,0.000000,0.414228,0.265023
7,0.269403,0.269403,1.000000,0.264493,0.264493,0.000000,0.000000,0.415043,0.264491
8,0.268067,0.268067,1.000000,0.263774,0.263774,0.000000,0.000000,0.415046,0.263797
9,0.266895,0.266895,1.000000,0.262008,0.262008,0.000000,0.000000,0.415139,0.261983
10,0.265997,0.265997,1.000000,0.261424,0.261424,0.000000,0.000000,0.413930,0.261435
