epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.311928,0.338527,0.089160,0.261456,0.274519,0.302560,0.039679,0.176123,0.494872,0.302612
1,0.266073,0.293146,0.039330,0.175156,0.265588,0.293403,0.032632,0.181012,0.488139,0.293311
2,0.259548,0.286299,0.035505,0.186510,0.261317,0.288799,0.031155,0.190480,0.485053,0.288869
3,0.256120,0.282678,0.033697,0.197336,0.259584,0.287004,0.029943,0.201968,0.484907,0.287001
4,0.253905,0.280289,0.032937,0.205782,0.257603,0.284882,0.029140,0.209985,0.487627,0.284812
5,0.252509,0.278767,0.032598,0.211438,0.257201,0.284397,0.029433,0.212255,0.483331,0.284435
6,0.251488,0.277672,0.032194,0.214167,0.258826,0.286118,0.030248,0.215518,0.489434,0.286172
7,0.250832,0.276927,0.032289,0.215652,0.255644,0.282740,0.028717,0.216696,0.483476,0.282818
8,0.250064,0.276112,0.031905,0.215064,0.255463,0.282537,0.028724,0.217673,0.487085,0.282354
9,0.249687,0.275696,0.031867,0.215376,0.255112,0.282160,0.028591,0.215539,0.481059,0.281931
0,0.329020,0.357643,0.089306,0.121237,0.302266,0.333729,0.038756,0.147499,0.514221,0.333780
1,0.293415,0.323812,0.038842,0.160767,0.294670,0.326087,0.031549,0.172181,0.508780,0.326029
2,0.286258,0.316539,0.032648,0.178815,0.290228,0.321577,0.027679,0.182353,0.504550,0.321641
3,0.283421,0.313793,0.029060,0.187188,0.288493,0.319897,0.025483,0.188013,0.503431,0.319907
4,0.281228,0.311574,0.027080,0.191801,0.287973,0.319443,0.024408,0.193818,0.505267,0.319372
5,0.279988,0.310341,0.025785,0.195603,0.287147,0.318578,0.023909,0.195043,0.503447,0.318611
6,0.279178,0.309522,0.025046,0.197610,0.291894,0.323886,0.023968,0.197593,0.509590,0.323941
7,0.278607,0.308946,0.024517,0.197992,0.288052,0.319790,0.022249,0.197002,0.505666,0.319862
8,0.277912,0.308215,0.024122,0.197938,0.285561,0.316960,0.022596,0.197786,0.506426,0.316776
9,0.277293,0.307562,0.023792,0.198381,0.284496,0.315886,0.021607,0.197244,0.499374,0.315733
10,0.277281,0.307570,0.023610,0.198402,0.284098,0.315374,0.022165,0.196744,0.502976,0.315252
11,0.277066,0.307353,0.023414,0.198538,0.284223,0.315510,0.022197,0.196040,0.498307,0.315587
12,0.276672,0.306919,0.023360,0.198029,0.284563,0.315961,0.021604,0.196221,0.500842,0.315990
13,0.276597,0.306843,0.023284,0.197957,0.285831,0.317253,0.022670,0.196615,0.498535,0.317236
