h,mae,mse
1,0.2311340570449829,0.2981138825416565
2,0.2766442894935608,0.42685872316360474
3,0.29116061329841614,0.4716779291629791
4,0.29500505328178406,0.4793753921985626
5,0.3065422773361206,0.49036675691604614
6,0.30777066946029663,0.48932018876075745
7,0.30867984890937805,0.4862973392009735
8,0.30549705028533936,0.4779701828956604
9,0.3111947178840637,0.47746458649635315
10,0.32141396403312683,0.4844129979610443
11,0.32210344076156616,0.49242696166038513
12,0.3274824619293213,0.5005371570587158
13,0.3333425223827362,0.5034034252166748
14,0.3366798162460327,0.5058314204216003
15,0.33939266204833984,0.5088086724281311
16,0.3351536989212036,0.5014387369155884
17,0.3252144455909729,0.49980223178863525
18,0.31193095445632935,0.4953173100948334
19,0.30788639187812805,0.49129605293273926
20,0.30843859910964966,0.49031201004981995
21,0.3085956573486328,0.4856233596801758
22,0.30830147862434387,0.47815608978271484
23,0.31070369482040405,0.4749692380428314
24,0.31449365615844727,0.4779292047023773
25,0.3173598051071167,0.5030495524406433
26,0.3200904130935669,0.5317792892456055
27,0.3166238069534302,0.533255398273468
28,0.3196367025375366,0.5352516770362854
29,0.3220323324203491,0.5409026145935059
30,0.3224417567253113,0.5401331782341003
31,0.323282390832901,0.5406142473220825
32,0.3243269622325897,0.5392286777496338
33,0.3285614252090454,0.5385698080062866
34,0.32149994373321533,0.5410704612731934
35,0.3219633996486664,0.5531153082847595
36,0.33536460995674133,0.5618503093719482
37,0.3481651842594147,0.5593201518058777
38,0.34622952342033386,0.5598404407501221
39,0.34622013568878174,0.5554150938987732
40,0.34466636180877686,0.5521234273910522
41,0.3354584276676178,0.5465750694274902
42,0.33329224586486816,0.5501385927200317
43,0.33480143547058105,0.5623787641525269
44,0.327886700630188,0.5637300610542297
45,0.3250340521335602,0.5509150624275208
46,0.3232455849647522,0.5359720587730408
47,0.33106496930122375,0.5354317426681519
48,0.3420334756374359,0.5351090431213379
49,0.33967334032058716,0.5369184017181396
50,0.3434564173221588,0.557439386844635
51,0.3398216962814331,0.5625379085540771
52,0.3439657390117645,0.5637171268463135
53,0.34380024671554565,0.5701984763145447
54,0.3425397574901581,0.5702160596847534
55,0.34411150217056274,0.5708374381065369
56,0.34809380769729614,0.5700682997703552
57,0.34840404987335205,0.5718886852264404
58,0.3423013985157013,0.5729374289512634
59,0.3420044183731079,0.5826651453971863
60,0.3519512712955475,0.5870586633682251
61,0.3571297228336334,0.5821570158004761
62,0.3408133089542389,0.578867495059967
63,0.3401298522949219,0.5878403186798096
64,0.3416237533092499,0.5849323272705078
65,0.3415541648864746,0.5821824073791504
66,0.3385520279407501,0.5773067474365234
67,0.3384855091571808,0.5823875665664673
68,0.33788755536079407,0.5783424973487854
69,0.3425304591655731,0.5750786662101746
70,0.3381807208061218,0.5599510669708252
71,0.32643216848373413,0.540887176990509
72,0.3081356883049011,0.5041670203208923
73,0.29239746928215027,0.47064974904060364
74,0.2949501872062683,0.4741710424423218
75,0.29906535148620605,0.4755622148513794
76,0.29851141571998596,0.4712716341018677
77,0.3026231527328491,0.47596874833106995
78,0.3006494641304016,0.4771222472190857
79,0.2963818907737732,0.47473663091659546
80,0.30152156949043274,0.47078779339790344
81,0.31750330328941345,0.47497397661209106
82,0.3141232430934906,0.4751170873641968
83,0.30198046565055847,0.46991151571273804
84,0.30639317631721497,0.4727342128753662
85,0.30910712480545044,0.47053417563438416
86,0.2945631444454193,0.4671899676322937
87,0.30528321862220764,0.4821684658527374
88,0.32016462087631226,0.49049112200737
89,0.3142499327659607,0.4851195514202118
90,0.30611008405685425,0.48073333501815796
91,0.3030494153499603,0.4864860773086548
92,0.29240334033966064,0.4739896059036255
93,0.2978888154029846,0.4704800546169281
94,0.29616668820381165,0.4684368669986725
95,0.29716917872428894,0.4650056064128876
96,0.2992147207260132,0.464012086391449
97,0.29615718126296997,0.45866575837135315
98,0.30314183235168457,0.4627695679664612
99,0.30291685461997986,0.46094968914985657
100,0.3009510338306427,0.45965954661369324
101,0.30003994703292847,0.4600580036640167
102,0.29370734095573425,0.4575934112071991
103,0.293700635433197,0.4603573679924011
104,0.3029496967792511,0.461416631937027
105,0.3105812966823578,0.4614447057247162
106,0.30488651990890503,0.46123602986335754
107,0.2991642355918884,0.4593885838985443
108,0.3006976544857025,0.45971930027008057
109,0.3004795014858246,0.45897558331489563
110,0.29575014114379883,0.4600885212421417
111,0.2928793728351593,0.4692703187465668
112,0.3023175597190857,0.47425270080566406
113,0.3026673495769501,0.47073113918304443
114,0.3049180209636688,0.46850475668907166
115,0.29026779532432556,0.46143412590026855
