epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.461622,0.454853,0.676870,0.153595,0.453052,0.447743,0.530894,0.156273,0.653878,0.447725
1,0.436775,0.431910,0.486541,0.168388,0.442558,0.438245,0.431247,0.156025,0.645719,0.438859
2,0.429075,0.424868,0.420738,0.171122,0.438599,0.435018,0.358086,0.162086,0.643378,0.435170
3,0.424073,0.420255,0.381758,0.175352,0.435587,0.432228,0.335930,0.164688,0.640875,0.432267
4,0.420887,0.417356,0.353103,0.180483,0.433569,0.430736,0.283309,0.176690,0.639828,0.430417
5,0.418184,0.414860,0.332414,0.189434,0.429957,0.427294,0.266254,0.182438,0.636153,0.427987
6,0.416097,0.412882,0.321517,0.196420,0.430174,0.427730,0.244406,0.190256,0.637435,0.428238
7,0.414584,0.411415,0.316907,0.202901,0.428796,0.426277,0.251988,0.194757,0.633593,0.425867
8,0.413044,0.409858,0.318664,0.206987,0.429819,0.427286,0.253252,0.197670,0.635375,0.426283
9,0.411787,0.408618,0.316905,0.210456,0.430032,0.427476,0.255604,0.198722,0.638158,0.427663
