epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.380834,0.374130,0.670436,0.155897,0.324714,0.319499,0.521463,0.159323,0.438878,0.319546
1,0.333653,0.328883,0.477002,0.174954,0.308222,0.304232,0.399016,0.167389,0.419760,0.304217
2,0.321750,0.317606,0.414445,0.178848,0.299019,0.295568,0.345089,0.169632,0.413063,0.295581
3,0.315408,0.311658,0.374981,0.181303,0.295676,0.292386,0.328955,0.168479,0.411941,0.292419
4,0.311105,0.307517,0.358735,0.184903,0.293119,0.290204,0.291563,0.177365,0.410570,0.290195
5,0.307447,0.304203,0.324437,0.196594,0.290120,0.287747,0.237289,0.188901,0.408600,0.287763
6,0.304526,0.301559,0.296693,0.204157,0.289809,0.287577,0.223208,0.194500,0.406995,0.287560
7,0.302325,0.299468,0.285663,0.208821,0.286312,0.284151,0.216049,0.197469,0.404671,0.284119
8,0.300248,0.297418,0.283036,0.212562,0.285123,0.283009,0.211397,0.199907,0.401822,0.282987
9,0.298687,0.295896,0.279142,0.217043,0.284448,0.282324,0.212388,0.203185,0.402517,0.282290
10,0.297335,0.294574,0.276161,0.221560,0.284110,0.282052,0.205716,0.208242,0.403542,0.282087
11,0.296172,0.293417,0.275430,0.224621,0.284879,0.282850,0.202898,0.209317,0.403508,0.282846
12,0.295231,0.292477,0.275355,0.228260,0.282641,0.280636,0.200499,0.214081,0.403988,0.280622
13,0.294187,0.291457,0.273043,0.232217,0.283525,0.281489,0.203605,0.213447,0.404326,0.281506
14,0.293369,0.290644,0.272571,0.234021,0.282812,0.280767,0.204518,0.219246,0.405215,0.280750
