epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.725794,0.489942,0.235852,0.093650,0.572130,0.478357,0.093773,0.108706,0.745546,0.478932
1,0.534060,0.466353,0.067707,0.117119,0.524985,0.473568,0.051416,0.129204,0.743440,0.473401
2,0.506559,0.460259,0.046299,0.132922,0.509399,0.469339,0.040060,0.137014,0.734809,0.469899
3,0.493693,0.456990,0.036703,0.141768,0.501960,0.469043,0.032917,0.144463,0.733760,0.469245
4,0.486498,0.454931,0.031567,0.147425,0.497039,0.467663,0.029376,0.148726,0.731569,0.467775
5,0.482165,0.453395,0.028770,0.150171,0.496141,0.468992,0.027150,0.154488,0.742747,0.469700
6,0.479294,0.452184,0.027110,0.153247,0.493178,0.467329,0.025849,0.153906,0.734057,0.467375
7,0.477052,0.451105,0.025947,0.156310,0.488902,0.464165,0.024737,0.156357,0.724797,0.464568
8,0.475303,0.450157,0.025146,0.158552,0.490410,0.465892,0.024518,0.158354,0.731325,0.466486
9,0.474079,0.449475,0.024604,0.161333,0.492074,0.468749,0.023325,0.164137,0.742202,0.468371
10,0.472689,0.448642,0.024047,0.163494,0.487488,0.464848,0.022640,0.165036,0.726266,0.464921
