epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.692537,0.468580,0.447915,0.177950,0.618067,0.470475,0.295184,0.238993,0.739145,0.471013
1,0.583245,0.456969,0.252552,0.280956,0.561108,0.468229,0.185759,0.345825,0.738610,0.468050
2,0.526692,0.453546,0.146291,0.351839,0.529974,0.466520,0.126907,0.364869,0.739955,0.467048
3,0.511137,0.450835,0.120604,0.374941,0.521119,0.464611,0.113016,0.386759,0.730641,0.464784
4,0.503900,0.449082,0.109638,0.390543,0.515663,0.463845,0.103636,0.399914,0.728810,0.463938
5,0.496539,0.447832,0.097415,0.410176,0.506359,0.465216,0.082286,0.418230,0.738186,0.465826
6,0.484876,0.446747,0.076260,0.414601,0.497461,0.463101,0.068720,0.411341,0.728066,0.463200
7,0.478308,0.445514,0.065588,0.412159,0.492126,0.462069,0.060114,0.408729,0.728527,0.462406
8,0.471241,0.444642,0.053197,0.397930,0.486645,0.463607,0.046078,0.387327,0.734903,0.464205
9,0.466430,0.443869,0.045123,0.381782,0.484815,0.464136,0.041358,0.377846,0.732016,0.463829
10,0.463697,0.443130,0.041135,0.374614,0.481275,0.462093,0.038362,0.372650,0.728712,0.462086
