epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.536050,0.536050,1.000000,0.276453,0.276453,0.000000,0.000000,0.276470,0.370508
1,0.480987,0.480987,1.000000,0.257071,0.257071,0.000000,0.000000,0.257408,0.355695
2,0.452487,0.452487,1.000000,0.250203,0.250203,0.000000,0.000000,0.249990,0.349182
3,0.436162,0.436162,1.000000,0.243290,0.243290,0.000000,0.000000,0.242922,0.343562
4,0.421738,0.421738,1.000000,0.241137,0.241137,0.000000,0.000000,0.240696,0.341604
5,0.411970,0.411970,1.000000,0.239098,0.239098,0.000000,0.000000,0.239425,0.340032
6,0.403664,0.403664,1.000000,0.237138,0.237138,0.000000,0.000000,0.237278,0.338678
7,0.397857,0.397857,1.000000,0.236043,0.236043,0.000000,0.000000,0.236122,0.338082
8,0.395767,0.395767,1.000000,0.236625,0.236625,0.000000,0.000000,0.236365,0.337547
9,0.390089,0.390089,1.000000,0.234976,0.234976,0.000000,0.000000,0.235352,0.336331
10,0.386837,0.386837,1.000000,0.235877,0.235877,0.000000,0.000000,0.235252,0.336109
11,0.383012,0.383012,1.000000,0.233421,0.233421,0.000000,0.000000,0.232939,0.334600
12,0.380335,0.380335,1.000000,0.232936,0.232936,0.000000,0.000000,0.232903,0.334830
13,0.377534,0.377534,1.000000,0.231506,0.231506,0.000000,0.000000,0.231504,0.333681
14,0.376528,0.376528,1.000000,0.233446,0.233446,0.000000,0.000000,0.233441,0.334388
15,0.373573,0.373573,1.000000,0.230787,0.230787,0.000000,0.000000,0.231208,0.333080
16,0.371004,0.371004,1.000000,0.232098,0.232098,0.000000,0.000000,0.232531,0.333260
17,0.367978,0.367978,1.000000,0.232007,0.232007,0.000000,0.000000,0.231521,0.333098
